EmployeeID,Age,Gender,Department,JobRole,YearsAtCompany,MonthlyIncome,DistanceFromHome,NumCompaniesWorked,OverTime,TrainingTimesLastYear,WorkLifeBalance,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,JobInvolvement,PerformanceRating,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel,Attrition
EMP00001,58,Male,Sales,Healthcare Representative,15,8314,5,1,Yes,4,4,1,1,1,2,3,0,17,Non-Travel,0
EMP00002,52,Female,Sales,Research Director,37,10115,26,0,Yes,5,4,3,3,2,2,4,3,2,Travel_Rarely,0
EMP00003,40,Female,Sales,Research Director,34,5090,13,1,No,6,3,2,1,1,2,4,2,7,Non-Travel,0
EMP00004,47,Female,Sales,Manager,22,7865,22,4,Yes,4,2,2,2,4,4,4,7,10,Non-Travel,0
EMP00005,20,Female,Research & Development,Healthcare Representative,4,7913,19,5,Yes,5,4,4,4,2,3,3,7,17,Travel_Frequently,0
EMP00006,55,Female,Human Resources,Sales Representative,23,8186,5,8,No,0,1,1,2,2,4,3,12,12,Travel_Frequently,0
EMP00007,51,Female,Human Resources,Sales Executive,7,18595,25,4,No,0,3,4,2,4,1,4,5,16,Non-Travel,0
EMP00008,37,Male,Sales,Manager,10,18674,25,8,Yes,4,3,4,1,1,3,4,7,1,Non-Travel,0
EMP00009,23,Male,Human Resources,Research Director,4,18455,25,2,Yes,5,4,2,3,4,2,3,9,12,Travel_Frequently,0
EMP00010,46,Female,Sales,Manufacturing Director,14,3098,11,0,Yes,4,2,1,1,1,2,3,1,10,Non-Travel,0
EMP00011,35,Female,Sales,Human Resources,8,19711,19,7,Yes,6,4,4,2,1,1,4,11,13,Travel_Rarely,0
EMP00012,21,Male,Sales,Sales Representative,21,4580,8,3,Yes,4,4,2,4,2,3,4,7,2,Travel_Rarely,0
EMP00013,53,Male,Sales,Human Resources,0,4056,25,3,Yes,3,4,4,2,4,1,3,12,0,Travel_Rarely,0
EMP00014,47,Female,Research & Development,Human Resources,31,6072,7,4,Yes,0,1,3,1,1,4,3,1,16,Non-Travel,0
EMP00015,22,Male,Human Resources,Manufacturing Director,25,4928,29,9,Yes,4,1,1,4,3,3,3,10,7,Travel_Rarely,0
EMP00016,60,Female,Research & Development,Manager,4,1305,15,9,Yes,0,2,3,2,3,1,3,11,9,Non-Travel,0
EMP00017,52,Female,Human Resources,Human Resources,0,19173,10,1,Yes,2,1,1,2,3,3,3,10,6,Travel_Frequently,0
EMP00018,34,Female,Research & Development,Sales Executive,5,14879,27,4,Yes,0,3,2,3,2,4,4,0,3,Non-Travel,0
EMP00019,27,Male,Research & Development,Human Resources,9,15083,5,0,No,2,1,3,2,2,1,4,13,4,Non-Travel,0
EMP00020,29,Female,Sales,Laboratory Technician,21,14491,26,3,No,1,1,4,1,4,2,3,14,11,Travel_Rarely,0
EMP00021,32,Male,Sales,Manufacturing Director,25,11756,9,1,No,2,4,3,1,1,3,3,8,1,Non-Travel,0
EMP00022,40,Female,Research & Development,Human Resources,7,13622,29,9,Yes,2,1,4,1,2,3,4,2,10,Travel_Frequently,0
EMP00023,25,Female,Human Resources,Healthcare Representative,26,11688,13,4,Yes,1,4,4,2,3,4,3,9,9,Non-Travel,0
EMP00024,55,Female,Research & Development,Research Director,28,8002,17,7,Yes,5,1,3,3,1,2,4,7,6,Non-Travel,1
EMP00025,33,Female,Human Resources,Research Scientist,29,14580,29,9,Yes,5,4,4,4,2,2,3,3,13,Non-Travel,0
EMP00026,51,Female,Sales,Human Resources,15,4976,15,2,No,5,3,4,4,4,2,4,14,8,Non-Travel,0
EMP00027,35,Female,Human Resources,Manufacturing Director,17,15413,3,4,Yes,2,3,3,1,2,2,3,12,4,Travel_Frequently,0
EMP00028,44,Female,Research & Development,Human Resources,29,14624,2,3,No,3,1,4,4,1,3,4,12,13,Travel_Frequently,0
EMP00029,52,Male,Research & Development,Manufacturing Director,17,15281,16,0,No,2,4,2,4,2,1,4,0,2,Travel_Frequently,0
EMP00030,47,Male,Sales,Healthcare Representative,24,11726,7,7,No,2,4,3,4,3,1,4,0,17,Non-Travel,0
EMP00031,40,Male,Human Resources,Research Scientist,2,2016,8,3,Yes,4,2,2,2,4,1,3,14,8,Travel_Rarely,0
EMP00032,56,Male,Sales,Healthcare Representative,6,19962,1,4,No,3,2,1,2,1,3,3,1,11,Travel_Frequently,0
EMP00033,41,Male,Human Resources,Manager,0,14764,27,7,Yes,3,3,4,2,4,2,4,15,14,Travel_Rarely,0
EMP00034,55,Female,Research & Development,Manufacturing Director,5,10139,29,7,Yes,6,4,4,3,1,4,4,5,15,Non-Travel,0
EMP00035,34,Female,Research & Development,Healthcare Representative,35,1332,17,3,Yes,1,4,4,2,4,4,4,0,2,Travel_Rarely,0
EMP00036,33,Female,Human Resources,Manager,30,19136,17,5,No,5,3,3,4,3,3,4,7,3,Travel_Frequently,0
EMP00037,25,Male,Sales,Manufacturing Director,30,10060,24,9,No,0,2,3,2,3,2,4,0,17,Non-Travel,0
EMP00038,21,Female,Human Resources,Laboratory Technician,40,17085,4,0,No,3,4,4,3,2,1,4,15,3,Non-Travel,0
EMP00039,22,Male,Sales,Laboratory Technician,36,10956,3,3,Yes,4,4,2,4,4,4,4,13,9,Travel_Frequently,0
EMP00040,57,Male,Sales,Manufacturing Director,16,3660,6,3,Yes,4,1,2,1,4,4,4,9,1,Non-Travel,0
EMP00041,36,Female,Sales,Manufacturing Director,16,7482,14,1,Yes,5,2,3,2,1,1,3,9,9,Travel_Rarely,0
EMP00042,37,Female,Research & Development,Human Resources,34,17180,15,1,Yes,3,3,3,1,1,2,3,8,1,Non-Travel,0
EMP00043,59,Female,Research & Development,Laboratory Technician,37,15283,21,7,Yes,3,3,4,3,3,1,3,10,13,Travel_Frequently,0
EMP00044,60,Female,Human Resources,Sales Executive,29,3885,11,4,No,0,4,1,4,4,1,3,11,15,Travel_Frequently,0
EMP00045,21,Male,Research & Development,Human Resources,8,10438,15,7,Yes,0,2,2,3,1,4,3,7,3,Travel_Rarely,0
EMP00046,59,Male,Research & Development,Healthcare Representative,32,9959,14,7,No,1,4,2,4,2,2,3,8,13,Travel_Rarely,0
EMP00047,50,Female,Sales,Healthcare Representative,19,17044,28,2,No,4,4,3,3,4,4,4,6,7,Travel_Frequently,0
EMP00048,44,Male,Research & Development,Research Director,24,13651,22,2,No,0,2,3,1,4,1,4,0,4,Travel_Rarely,0
EMP00049,27,Male,Research & Development,Healthcare Representative,21,14024,21,1,No,6,4,3,4,1,1,3,9,7,Travel_Frequently,0
EMP00050,24,Male,Research & Development,Laboratory Technician,19,1948,2,5,Yes,2,3,3,4,2,2,4,5,5,Non-Travel,0
EMP00051,42,Male,Research & Development,Laboratory Technician,14,16110,21,4,No,2,1,4,3,2,1,4,11,9,Travel_Frequently,0
EMP00052,34,Female,Research & Development,Manufacturing Director,24,16833,4,3,No,4,3,3,3,1,4,4,0,1,Travel_Frequently,0
EMP00053,36,Male,Human Resources,Manager,14,7230,20,4,Yes,5,1,1,3,4,1,4,4,2,Travel_Rarely,0
EMP00054,44,Male,Sales,Laboratory Technician,34,12988,17,8,No,6,2,3,4,3,3,3,14,2,Non-Travel,0
EMP00055,32,Female,Human Resources,Manager,5,13929,1,4,Yes,3,3,3,4,3,1,3,15,0,Travel_Frequently,0
EMP00056,53,Female,Human Resources,Manufacturing Director,4,16213,23,4,No,0,2,1,1,3,4,3,3,7,Travel_Frequently,0
EMP00057,47,Female,Human Resources,Human Resources,26,6063,29,6,Yes,6,4,4,3,1,3,3,14,14,Non-Travel,0
EMP00058,24,Female,Human Resources,Manager,3,14046,9,3,Yes,6,4,1,2,1,1,4,7,4,Travel_Frequently,0
EMP00059,53,Male,Human Resources,Manufacturing Director,14,11766,25,2,Yes,2,2,2,3,2,1,3,4,0,Travel_Rarely,0
