race,position,driver_number,name_acronym,team_name,laps_completed,fastest_lap,avg_lap_time
Australia,1,1,VER,Red Bull Racing,58.0,80.342,157.909
Australia,2,44,HAM,Mercedes,58.0,80.613,157.9120517241379
Australia,3,14,ALO,Aston Martin,58.0,80.476,157.92218965517242
Australia,4,18,STR,Aston Martin,58.0,80.934,157.9616551724138
Australia,5,11,PER,Red Bull Racing,57.0,80.235,158.41394736842105
Australia,6,4,NOR,McLaren,58.0,81.173,157.9715344827586
Australia,7,27,HUL,Haas F1 Team,58.0,81.124,157.99291379310344
Australia,8,81,PIA,McLaren,58.0,81.335,158.00070689655175
Australia,9,24,ZHO,Alfa Romeo,58.0,81.819,158.00793103448274
Australia,10,22,TSU,AlphaTauri,58.0,81.789,158.01222413793104
Australia,11,77,BOT,Alfa Romeo,57.0,82.233,158.38119298245613
Australia,12,55,SAI,Ferrari,58.0,80.467,157.9365
Australia,13,10,GAS,Alpine,56.0,80.995,125.06760714285714
Australia,14,31,OCO,Alpine,56.0,81.203,125.09164285714284
Australia,15,21,DEV,AlphaTauri,56.0,81.183,125.107375
Australia,16,2,SAR,Williams,56.0,81.456,125.112
Australia,17,20,MAG,Haas F1 Team,52.0,81.685,108.3633846153846
Australia,18,63,RUS,Mercedes,17.0,82.68,158.6505294117647
Australia,19,23,ALB,Williams,6.0,83.349,103.03633333333333
Australia,20,16,LEC,Ferrari,0.0,,
Austria,1,1,VER,Red Bull Racing,71.0,67.012,72.30897183098591
Austria,2,16,LEC,Ferrari,71.0,68.82,72.38188732394366
Austria,3,11,PER,Red Bull Racing,71.0,68.111,72.55098591549296
Austria,4,55,SAI,Ferrari,71.0,68.88,72.61040845070423
Austria,5,4,NOR,McLaren,71.0,68.739,72.6802676056338
Austria,6,14,ALO,Aston Martin,71.0,69.108,72.73611267605634
Austria,7,44,HAM,Mercedes,71.0,69.16,72.86153521126761
Austria,8,63,RUS,Mercedes,71.0,69.283,72.99084507042254
Austria,9,10,GAS,Alpine,71.0,69.046,73.12035211267606
Austria,10,18,STR,Aston Martin,71.0,68.463,73.14092957746479
Austria,11,23,ALB,Williams,71.0,69.56,73.29197183098591
Austria,12,31,OCO,Alpine,70.0,69.797,73.51637142857142
Austria,13,2,SAR,Williams,70.0,69.611,73.57791428571429
Austria,14,24,ZHO,Alfa Romeo,70.0,69.786,73.6933142857143
Austria,15,21,DEV,AlphaTauri,69.0,69.852,73.32791304347826
Austria,16,77,BOT,Alfa Romeo,70.0,69.94,73.95204285714286
Austria,17,81,PIA,McLaren,70.0,69.862,74.00835714285715
Austria,18,22,TSU,AlphaTauri,70.0,69.62,73.98297142857143
Austria,19,20,MAG,Haas F1 Team,69.0,70.176,73.82539130434783
