race,position,driver_number,name_acronym,team_name,laps_completed,fastest_lap,avg_lap_time
Australia,1,1,VER,Red Bull Racing,23,76.732,166.05621739130436
Australia,2,63,RUS,Mercedes,28,76.968,137.22767857142858
Australia,3,44,HAM,Mercedes,27,77.104,142.18774074074074
Australia,4,14,ALO,Aston Martin,25,77.139,153.21524
Australia,5,55,SAI,Ferrari,27,77.27,142.04855555555557
Australia,6,18,STR,Aston Martin,25,77.308,152.62032000000002
Australia,7,16,LEC,Ferrari,25,77.369,153.71852
Australia,8,23,ALB,Williams,25,77.609,150.21564
Australia,9,10,GAS,Alpine,25,77.574,152.51536
Australia,10,27,HUL,Haas F1 Team,26,77.412,156.73250000000002
Australia,11,31,OCO,Alpine,17,77.768,153.46411764705883
Australia,12,22,TSU,AlphaTauri,20,78.099,140.60070000000002
Australia,13,4,NOR,McLaren,23,78.119,127.22665217391305
Australia,14,20,MAG,Haas F1 Team,17,78.129,168.32217647058823
Australia,15,21,DEV,AlphaTauri,22,78.335,132.16972727272727
Australia,16,81,PIA,McLaren,11,78.517,138.1611818181818
Australia,17,24,ZHO,Alfa Romeo,11,78.54,140.30363636363637
Australia,18,2,SAR,Williams,10,78.557,145.8483
Australia,19,77,BOT,Alfa Romeo,11,78.714,137.0069090909091
Australia,20,11,PER,Red Bull Racing,1,100.187,100.187
Austria,1,1,VER,Red Bull Racing,22,64.391,176.2647727272727
Austria,2,16,LEC,Ferrari,24,64.439,162.86104166666667
Austria,3,55,SAI,Ferrari,23,64.581,169.55639130434784
Austria,4,4,NOR,McLaren,20,64.658,190.85875000000001
Austria,5,44,HAM,Mercedes,22,64.819,172.90736363636364
Austria,6,18,STR,Aston Martin,22,64.893,174.56109090909092
Austria,7,14,ALO,Aston Martin,24,64.911,159.06729166666668
Austria,8,27,HUL,Haas F1 Team,21,65.09,183.42957142857145
Austria,9,10,GAS,Alpine,18,65.084,206.48244444444447
Austria,10,23,ALB,Williams,19,65.34,187.59136842105264
Austria,11,63,RUS,Mercedes,19,65.408,138.64173684210527
Austria,12,31,OCO,Alpine,13,65.295,156.55915384615383
Austria,13,81,PIA,McLaren,17,65.213,161.09405882352942
Austria,14,77,BOT,Alfa Romeo,12,65.513,214.52433333333332
Austria,15,11,PER,Red Bull Racing,17,64.99,158.55429411764706
Austria,16,22,TSU,AlphaTauri,9,65.784,160.62355555555553
Austria,17,24,ZHO,Alfa Romeo,7,65.818,201.04628571428572
Austria,18,2,SAR,Williams,8,65.948,173.492
Austria,19,20,MAG,Haas F1 Team,8,65.793,179.76125000000002
Austria,20,21,DEV,AlphaTauri,9,65.974,159.5481111111111
Azerbaijan,1,16,LEC,Ferrari,17,100.203,292.69705882352946
Azerbaijan,2,1,VER,Red Bull Racing,16,100.391,311.5645
Azerbaijan,3,11,PER,Red Bull Racing,18,100.495,287.4796111111111
Azerbaijan,4,55,SAI,Ferrari,20,101.016,250.15095000000002
Azerbaijan,5,44,HAM,Mercedes,21,101.177,247.8924761904762
Azerbaijan,6,14,ALO,Aston Martin,19,101.253,265.4305263157895
Azerbaijan,7,4,NOR,McLaren,16,101.281,316.09275
Azerbaijan,8,22,TSU,AlphaTauri,20,101.569,254.2612
Azerbaijan,9,18,STR,Aston Martin,19,101.576,263.25042105263157
Azerbaijan,10,81,PIA,McLaren,20,101.611,251.80194999999998
Azerbaijan,11,63,RUS,Mercedes,15,101.654,262.19113333333337
Azerbaijan,12,31,OCO,Alpine,16,101.798,251.74725
Azerbaijan,13,23,ALB,Williams,16,101.818,251.0539375
Azerbaijan,14,77,BOT,Alfa Romeo,16,102.259,252.9139375
Azerbaijan,15,2,SAR,Williams,16,102.242,249.9018125
Azerbaijan,16,24,ZHO,Alfa Romeo,8,102.642,342.91125
Azerbaijan,17,27,HUL,Haas F1 Team,8,102.755,343.00300000000004
Azerbaijan,18,20,MAG,Haas F1 Team,6,103.417,405.55316666666664
Azerbaijan,19,10,GAS,Alpine,3,104.853,469.0433333333333
Azerbaijan,20,21,DEV,AlphaTauri,1,115.282,115.282
Bahrain,1,1,VER,Red Bull Racing,13,89.708,260.07107692307693
Bahrain,2,11,PER,Red Bull Racing,13,89.846,256.33023076923075
Bahrain,3,16,LEC,Ferrari,16,90.0,234.8516875
Bahrain,4,55,SAI,Ferrari,16,90.154,257.21925
Bahrain,5,14,ALO,Aston Martin,15,90.336,217.90953333333334
Bahrain,6,63,RUS,Mercedes,15,90.34,217.54106666666667
Bahrain,7,44,HAM,Mercedes,15,90.384,216.74226666666667
Bahrain,8,18,STR,Aston Martin,17,90.836,197.8665294117647
Bahrain,9,31,OCO,Alpine,14,90.914,238.41771428571428
Bahrain,10,27,HUL,Haas F1 Team,16,90.809,246.36206249999998
Bahrain,11,4,NOR,McLaren,11,91.381,189.5040909090909
Bahrain,12,77,BOT,Alfa Romeo,12,91.443,191.89633333333333
Bahrain,13,24,ZHO,Alfa Romeo,12,91.473,191.10608333333334
Bahrain,14,22,TSU,AlphaTauri,13,91.4,223.09376923076923
Bahrain,15,23,ALB,Williams,8,91.461,247.83875
Bahrain,16,2,SAR,Williams,6,91.652,151.05916666666667
